Days,Population
0,12.0
1,16.608
2,22.883
3,31.338
4,42.564
5,61.128
6,69.617
7,78.694
8,108.752
9,118.675
10,137.846
11,146.414
12,176.397
13,180.56
14,184.07
15,199.762
16,239.786
17,273.433
18,268.236
19,279.596
20,272.272
21,252.594
22,253.935
23,269.532
24,280.481
25,287.781
26,277.494
27,285.821
28,276.258
29,285.003
30,305.664
31,303.356
32,301.999
33,301.194
34,270.715
35,281.286
36,273.363
37,268.19
38,294.396
39,311.59
40,291.797
41,265.011
42,262.578
43,246.146
44,249.304
45,251.584
46,267.825
47,264.487
48,262.221
49,290.192
50,279.003
51,301.74
52,316.039
53,294.323
54,311.545
55,276.794
56,255.538
57,256.016
58,241.675
59,246.036
60,263.739
